Seq,Phylum,Class,Order,Family,Genus
DH_8837,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8863,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8963,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_9688,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_9815,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_9891,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_9976,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_10348,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_10738,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_10779,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_10877,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_11207,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_11208,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_11334,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_11680,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_12393,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_12447,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_12587,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13027,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13183,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13272,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13325,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13487,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13835,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_13843,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_14164,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_14168,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_14199,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_14256,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_14313,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_15286,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_15389,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_15721,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_16226,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_16399,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_16564,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_16859,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_16936,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_17486,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_17785,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_18317,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_18985,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_19208,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_19416,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_19942,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_21332,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_21925,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22036,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22100,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22264,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22619,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22629,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22789,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22833,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22880,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_22931,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_23319,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_23551,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_23984,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_24233,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_24570,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_24783,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_25049,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_26112,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_26162,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_26579,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_26602,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_26948,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_27167,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_27352,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_27399,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_27422,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_27955,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_28296,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_28448,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_29517,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_29534,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_29679,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_29929,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_30073,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_30108,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_30498,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_30816,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31066,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31132,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31299,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31460,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31499,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_31500,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_32535,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_32689,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_32885,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_32890,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_32897,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_33083,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_33098,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_33417,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_33485,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_33839,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_34174,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_35499,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_2273,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_3349,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_3641,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_4537,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_5038,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_5736,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_5904,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_6307,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_6612,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_6754,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_8683,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_10127,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_10681,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_12248,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_12901,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_13095,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_13523,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_14043,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_14467,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_17883,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_17906,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_18501,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_19600,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_19941,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_21039,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_23883,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_24125,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_24305,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_24696,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_26735,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_26966,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_27910,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_28839,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_28974,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_29374,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_30828,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_31514,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_32761,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_32786,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_33552,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_33629,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_33973,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae
DH_4457,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
DH_5960,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
DH_25146,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
DH_7455,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae
DH_17312,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae
DH_32666,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae
DH_5395,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae
DH_5887,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae
DH_12110,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae
DH_23241,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae
DH_8,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_22,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_29,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_39,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_261,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_404,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_690,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_693,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_725,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_1499,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA
DH_3061,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA
DH_3261,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA
DH_3553,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3611,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3663,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3783,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3806,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3898,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_3899,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4136,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4279,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4450,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4514,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4656,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4666,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4849,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4867,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_4943,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5152,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5156,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5214,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5252,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5371,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5374,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5388,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5530,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5546,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5625,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_5860,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6076,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6105,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6129,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA
DH_6228,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6255,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6280,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6403,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6509,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6523,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6573,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6780,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_6794,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7054,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7073,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7082,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7338,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7712,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7854,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7896,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7900,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7931,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7939,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7941,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_7963,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8113,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8224,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8238,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8896,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8897,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
DH_8908,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae
